"AR","MA","GARCH","ARCH","AIC","BIC","LB_Resid","LB_Resid2","LB_Promedio"
2,0,1,0,-5.28857599188743,-5.23369486723405,0.602957757866873,0.228750427452213,0.415854092659543
1,1,0,1,-5.28844380425042,-5.23356267959704,0.617553223201096,0.211775123686522,0.414664173443809
2,0,0,2,-5.28289887610046,-5.2170415265164,0.601080665171856,0.226871339058994,0.413976002115425
1,0,0,1,-5.2940270682453,-5.2501221685226,0.622472577167157,0.203478465198656,0.412975521182907
0,1,0,1,-5.29394300844547,-5.25003810872276,0.623989261975094,0.201574951627286,0.41278210680119
1,1,1,0,-5.28845543389387,-5.23357430924049,0.614860094375521,0.209167478352953,0.412013786364237
1,0,0,2,-5.28847711227196,-5.23359598761858,0.617939865486055,0.192451176460068,0.405195520973062
0,1,0,2,-5.28837086362533,-5.23348973897195,0.618889046738208,0.189610959076102,0.404250002907155
3,2,0,1,-5.29558800513031,-5.2077782056849,0.737989914327185,0.0592801924621401,0.398635053394663
0,0,0,1,-5.2974772593622,-5.26454858457017,0.554342532321706,0.183338035900508,0.368840284111107
0,0,0,2,-5.29186241552798,-5.24795751580528,0.553777141550811,0.180228531144511,0.367002836347661
0,0,2,0,-5.32042403674227,-5.27651913701957,0.652706463716014,0.0197801744481276,0.336243319082071
3,2,1,1,-5.41157118089455,-5.31278515651846,0.104648304220899,0.563246273329395,0.333947288775147
2,3,2,0,-5.33562548544663,-5.23683946107054,0.625204695419978,0.0127051759744405,0.318954935697209
1,0,2,0,-5.31497182279531,-5.26009069814192,0.612452555326592,0.0155540474572243,0.314003301391908
3,2,1,2,-5.41027433583067,-5.30051208652391,0.0937312440963601,0.518191972110328,0.305961608103344
1,1,2,0,-5.30988739407332,-5.24403004448927,0.592849020051519,0.0164228810988456,0.304635950575182
0,1,2,0,-5.31504850092269,-5.26016737626931,0.594239915944305,0.0139829039875986,0.304111409965952
3,3,1,2,-5.40555074921358,-5.28481227497614,0.028030909656765,0.566039348475564,0.297035129066164
1,2,2,0,-5.30772500317963,-5.2308914286649,0.564442377987009,0.00638845066631966,0.285415414326664
2,2,1,0,-5.28523484449097,-5.20840126997624,0.283525280141361,0.237854666175774,0.260689973158568
2,1,2,0,-5.30590202266538,-5.22906844815065,0.444762564728294,0.00739297378375547,0.226077769256025
2,0,2,0,-5.32586026842703,-5.26000291884297,0.360417147124449,5.65730843986589e-05,0.180236860104424
2,4,0,2,11.4588465836728,11.5686088329796,0.350572134812221,0.00415623580812863,0.177364185310175
