"AR","MA","GARCH","ARCH","AIC","BIC","LB_Resid","LB_Resid2","LB_Promedio"
0,0,1,2,-5.30401337445504,-5.24913224980166,0.38258454085726,0.325272402826041,0.353928471841651
2,1,0,1,-5.12860321941488,-5.06274586983082,0.688954104732076,4.71585615002823e-08,0.344477075945319
2,0,0,1,-5.13376035739444,-5.07887923274106,0.688557770135375,8.21514593019046e-08,0.344278926143417
2,0,0,2,-5.12788265956375,-5.0620253099797,0.688327177967212,8.14849114849636e-08,0.344163629726062
3,0,0,1,-5.13029768885008,-5.06444033926602,0.679913744198666,5.40917299840515e-09,0.33995687480392
3,0,0,2,-5.12452497023909,-5.04769139572435,0.679791771140716,5.35759558939475e-09,0.339895888249156
0,0,1,1,-5.30560462718193,-5.26169972745922,0.364958480407021,0.295557191013176,0.330257835710099
2,1,0,2,-5.10868168657378,-5.03184811205905,0.652256824013127,1.53481768405683e-08,0.326128419680652
0,0,2,1,-5.30003883394635,-5.24515770929296,0.359561695683548,0.292185559225337,0.325873627454443
4,2,0,1,17.1477378854106,17.2465239097866,0.628542694004857,3.57924800908904e-12,0.314271347004218
1,1,0,2,-5.12192947024536,-5.0560721206613,0.511427422386347,2.88610724208382e-09,0.255713712636227
1,0,0,2,-5.12611865282637,-5.07123752817299,0.449115271571404,4.22416102097145e-10,0.22455763599691
1,0,0,1,-5.13156190797533,-5.08765700825263,0.448479323007715,4.14764778078336e-10,0.22423966171124
0,1,0,2,-5.12592277689004,-5.07104165223666,0.437938096252527,3.32198490937685e-10,0.218969048292363
0,1,0,1,-5.13136776733271,-5.08746286761001,0.437257237272495,3.25672044887426e-10,0.218628618799084
1,1,0,1,-5.12625053290092,-5.07136940824754,0.418622232586193,6.99773572421236e-13,0.209311116293446
0,0,0,2,-5.13049502344496,-5.08659012372226,0.370263264364183,1.27135746375018e-10,0.185131632245659
2,0,2,0,-3.15398450784159,-3.08812715825754,5.50819357765242e-05,0.369768004587795,0.184911543261786
0,0,0,1,-5.1359423105609,-5.10301363576888,0.369606890844953,1.24490417974243e-10,0.184803445484722
2,3,2,0,-5.24786167826021,-5.14907565388413,0.251674908747393,0.0387832953445302,0.145229102045961
3,1,2,0,-5.24493284551648,-5.15712304607107,0.273506274939862,0.0114239068393746,0.142465090889619
0,4,2,0,-5.24543569835322,-5.15762589890781,0.185274963725903,0.0939693114049134,0.139622137565408
4,1,2,0,-5.24899524656572,-5.15020922218963,0.159202197291762,0.0988142305326785,0.12900821391222
4,1,1,0,-5.25309242052742,-5.165282621082,0.164430073043675,0.0785170508597623,0.121473561951719
